% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=320471, Thu Dec 12 18:58:47 2019, <python>{}</python>
1 8 0.10141630553821801 1.0000375007031337 -4.857748632748035 -4.8577486327480353e+00 -3.799039107789486 -3.4192417075546953   
2 16 0.10309839158724007 1.2904918143612356 -5.320844770241839 -5.3208447702418393e+00 -4.547930528614516 -3.977668437438964   
3 24 0.12133938671770382 1.4974473476580972 -5.888300227344246 -5.8883002273442457e+00 -4.76021650453196 -4.1990831541553035   
4 32 0.1676812670760132 1.7385453741956105 -7.5124017400209 -7.5124017400209002e+00 -5.984261884570757 -4.944914918292738   
5 40 0.21210323098747133 1.8626191282814817 -8.656993062976843 -8.6569930629768432e+00 -6.969506242613672 -5.695775570304954   
6 48 0.2780275169299446 2.1352006043555787 -9.707754615459848 -9.7077546154598480e+00 -8.213082030448156 -6.65783509008994   
7 56 0.33654371003321437 2.3482118690943743 -11.537605395292095 -1.1537605395292095e+01 -8.155552826697836 -6.2679145403213585   
8 64 0.40690755557468977 2.4130160876867066 -12.742012013409392 -1.2742012013409392e+01 -11.650703286353615 -9.673318922754683   
9 72 0.632535274199072 2.7092524492911063 -14.694563658313612 -1.4694563658313612e+01 -12.63930922537609 -8.17505756563688   
10 80 0.6699115152641355 2.7585044090302318 -14.694563658313612 -1.4612098025495623e+01 -14.242356072783162 -13.25042229093071   
11 88 0.8072541025516682 2.6363233730727997 -15.129646307470919 -1.5129646307470919e+01 -14.25767261776863 -8.214519412821586   
12 96 1.130570098131072 3.099285383096038 -15.158022462464539 -1.5158022462464539e+01 -15.04325961817348 -11.655829189939036   
13 104 1.5771302052817462 2.810211024442623 -15.164889530891273 -1.5164889530891273e+01 -15.15667447163964 -5.6195254026932995   
14 112 2.523745180036381 2.7584905924008125 -15.165056733099885 -1.5165056733099885e+01 -15.163955971196724 -14.878299951490796   
15 120 3.3028713535323644 2.855134384261371 -15.165056733099885 -1.5165056269249940e+01 -15.1650064091217 -1.8555146980463333   
16 128 3.9940529191604583 2.540662220319829 -15.1650569123196 -1.5165056912319599e+01 -15.164739092589231 -15.155966787913307   
17 136 5.081470703565017 2.846622372122627 -15.165056912329451 -1.5165056912329451e+01 -15.165056911776977 -15.164690112043433   
18 144 7.238010159561929 3.38409397230121 -15.165056912329481 -1.5165056912329481e+01 -15.165056912328915 -15.165056749744823   
19 152 7.306673540437461 3.429131294781733 -15.165056912329481 -1.5165056912329481e+01 -15.165056912329481 -15.165027133211954   
20 160 6.853733104450424 3.7040869663982905 -15.165056912329481 -1.5165056912329481e+01 -15.165056912329481 -15.164960216772513   
21 168 7.639687795518229 3.422565563860689 -15.165056912329481 -1.5165056912329481e+01 -15.165056912329481 -15.165056912329481   
22 176 7.687279512900373 3.463414404515091 -15.165056912329481 -1.5165056912329481e+01 -15.165056912329481 -15.16505691232948   
23 184 7.978172062699866 3.5422604437976197 -15.165056912329481 -1.5165056912329481e+01 -15.165056912329481 -15.165056912329481   
24 192 7.806238087574613 3.43523412306306 -15.165056912329481 -1.5165056912329481e+01 -15.165056912329481 -15.165056912329481   
25 200 6.949842932280158 3.997313412818213 -15.165056912329481 -1.5165056912329481e+01 -15.165056912329481 -15.165056912329481   
26 208 7.011108989422376 4.025456040487506 -15.165056912329481 -1.5165056912329481e+01 -15.165056912329481 -15.165056912329481   
27 216 6.215207941595155 4.888480947214867 -15.165056912329481 -1.5165056912329481e+01 -15.165056912329481 -15.165056912329481   
