% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=320471, Thu Dec 12 18:58:47 2019
1 8 -0.10418446267904133 -0.01647437481445819 0.05905334872769645 0.20185300345766197 1 1 1 1
2 16 -0.15858663128834555 -0.004938571170623917 0.2640592659573457 0.2640592659573457 1 1 1 1
3 24 -0.2608535886779872 -0.05797298491825875 0.00918126111657086 0.34515525478843934 1 1 1 1
4 32 -0.3376667553315583 -0.1677840555128345 0.07172793383862397 0.4147229715693461 1 1 1 1
5 40 -0.44312681359834943 -0.17816064209137628 0.1787299073421576 0.42689817010825815 1 1 1 1
6 48 -0.4266392711571544 -0.17696180084185567 0.11315504141752016 0.509605525919117 1 1 1 1
7 56 -0.3670042651095044 -0.07429829609320072 0.08456352849949827 0.5157566714708436 1 1 1 1
8 64 -0.4382489938631189 -0.22783215698099704 0.10592235329784429 0.5724118298665604 1 1 1 1
9 72 -0.5031383493023783 -0.04440278452340415 0.5553592920534188 0.5553592920534188 1 1 1 1
10 80 -0.4966808642888201 -0.010164031636706863 0.5604493002457444 0.5604493002457444 1 1 1 1
11 88 -0.5830651017786633 -0.00630460941092602 0.6374680362297225 0.6374680362297225 1 1 1 1
12 96 -0.5817542739706227 -0.09359124493699596 0.1281056769976255 0.5580153301721986 1 1 1 1
13 104 -0.5747353033483503 -0.14943235744143557 0.16597482941211128 0.5331565999614336 1 1 1 1
14 112 -0.5978512194177583 -0.20202072663410262 0.28268720692463106 0.5639281178227048 1 1 1 1
15 120 -0.54926110005642 -0.018336046583499063 0.18647140427484638 0.5486287306409192 1 1 1 1
16 128 -0.6143504726034086 -0.08396125777547092 0.1437221398246869 0.5404852032575732 1 1 1 1
17 136 -0.7302543497053239 -0.17149060813445344 0.2724775730514048 0.46614842636210857 1 1 1 1
18 144 -0.7726167926294563 -0.15322859267818062 0.3430289780269253 0.4183734053245013 1 1 1 1
19 152 -0.7359647318364422 -0.2869449444074188 0.02641685034043884 0.3794542272199697 1 1 1 1
20 160 -0.6697242708418318 -0.3209453754060958 0.050572479504860574 0.3788117680508445 1 1 1 1
21 168 -0.7540478439588926 -0.3050361824701549 0.13219425628693343 0.3481009485373218 1 1 1 1
22 176 -0.7930738080375965 -0.32059044517363394 0.15833210325084335 0.36878941036090096 1 1 1 1
23 184 -0.7809354200471992 -0.02424778347891223 0.2397771462292242 0.4194907663852257 1 1 1 1
24 192 -0.8167000556951592 -0.029135770824628402 0.16734405860145407 0.4491134160714161 1 1 1 1
25 200 -0.8211816066937138 -0.028681433733826325 0.17209067912394183 0.5231924125006052 1 1 1 1
26 208 -0.8498366894870497 -0.3237323625361587 0.11624164592918855 0.553023309720773 1 1 1 1
27 216 -0.8612644229598916 -0.34871860933571813 0.04245074908646902 0.5811581599763449 1 1 1 1
