% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=320471, Thu Dec 12 18:58:47 2019, <python>{}</python>
1 8 0.10141630553821801 0 0 0.0996546271713166 0.09609213932894398 0.10093322566472084 0.10646690467482714
2 16 0.10309839158724007 0 0 0.10360310234739863 0.08406263493652157 0.10493896425447212 0.11016043710336429
3 24 0.12133938671770382 0 0 0.12078334586875589 0.10099350781795682 0.13731271853112803 0.13595071989933075
4 32 0.1676812670760132 0 0 0.1636644100205434 0.14333952710043327 0.20262555175381053 0.19110917702361865
5 40 0.21210323098747133 0 0 0.2219573586780959 0.17187107211478173 0.25487529945691756 0.24522015204094658
6 48 0.2780275169299446 0 0 0.3078151468879309 0.22894628996286961 0.32360564203333647 0.3327013497590548
7 56 0.33654371003321437 0 0 0.3681540001840854 0.2561202414744651 0.4154932466073391 0.36851653989954875
8 64 0.40690755557468977 0 0 0.44709954127263096 0.30847035496923886 0.5643967827751394 0.44351809269982095
9 72 0.632535274199072 0 0 0.7955493970585601 0.43485764218640904 0.8373373883679406 0.7035219496095503
10 80 0.6699115152641355 0 0 0.8258572252876298 0.4705535740522902 0.8611478209559879 0.7068478124104214
11 88 0.8072541025516682 0 0 1.1015752228432596 0.5586229783598776 1.012260139281279 0.9142528597973697
12 96 1.130570098131072 0 0 1.4754013122106602 0.8387781264496045 1.4229275058169941 1.1699571968212257
13 104 1.5771302052817462 0 0 2.149889555629808 1.1341736679840804 1.9493712420209006 1.5560993118859234
14 112 2.523745180036381 0 0 3.4667895118838 1.9367511426894446 3.176153388497339 2.5988362882209493
15 120 3.3028713535323644 0 0 4.231356716975758 2.5772679832472494 3.8374774996876724 3.4661377203573385
16 128 3.9940529191604583 0 0 5.389182795209535 2.8872405557256946 4.887718141923121 4.250396491802827
17 136 5.081470703565017 0 0 7.703079353026165 3.7224544815326066 7.015096015973104 5.112016889179003
18 144 7.238010159561929 0 0 11.161672255529504 5.41560506992594 10.332457053852808 7.380689095244409
19 152 7.306673540437461 0 0 11.234020683737125 4.889318923670779 9.876530041241303 6.869090454717641
20 160 6.853733104450424 0 0 9.749697346865156 4.627874725855622 8.327694090712919 6.085713201181105
21 168 7.639687795518229 0 0 10.664786218657794 5.134294460972581 10.264404206068585 6.914512672237266
22 176 7.687279512900373 0 0 9.876265008024502 5.127970681169948 10.433427196516474 7.223733051586034
23 184 7.978172062699866 0 0 9.802950046406872 5.362224024496604 10.315557110268797 7.412530267854066
24 192 7.806238087574613 0 0 9.87812983701318 5.183594056883604 11.289626091074616 6.413707093144709
25 200 6.949842932280158 0 0 8.284477841219944 4.73701369838782 10.042815994176815 5.163390701985867
26 208 7.011108989422376 0 0 8.956134237225234 4.8961456827719765 11.547814462011065 4.6230970081543985
27 216 6.215207941595155 0 0 8.280314434134237 4.062252172496674 10.557045341387777 3.696733436125786
